Reynolds,Spinoz,cascade_terms,viscosity_amplification,regime
100.0,0.9683772233983162,31,31.62277660168381,Laminar
100.138264419705,0.9684099760623988,31,31.655563223860415,Laminar
100.27672000990756,0.9684426948035587,31,31.68838383933904,Laminar
100.41536703492847,0.968475379656931,31,31.72123848336398,Laminar
100.55420575945395,0.9685080306576143,31,31.754127191216266,Laminar
100.69323644853633,0.9685406478406707,31,31.787049998213334,Laminar
100.83245936759408,0.9685732312411263,31,31.820006939709245,Laminar
100.97187478241297,0.9686057808939708,31,31.852998051095035,Laminar
101.11148295914612,0.9686382968341573,31,31.886023367797797,Laminar
101.2512841643147,0.9686707790966034,31,31.919082925282154,Laminar
101.39127866480835,0.9687032277161899,31,31.952176759048793,Laminar
101.53146672788573,0.9687356427277618,31,31.985304904635598,Laminar
101.67184862117502,0.9687680241661281,32,32.0184673976173,Laminar
101.81242461267452,0.9688003720660613,32,32.051664273605255,Laminar
101.95319497075283,0.9688326864622984,32,32.08489556824803,Laminar
102.09415996414984,0.96886496738954,32,32.11816131723091,Laminar
102.23531986197696,0.968897214882451,32,32.151461556276274,Laminar
102.37667493371768,0.9689294289756605,32,32.18479632114381,Laminar
102.51822544922805,0.9689616097037613,32,32.218165647629704,Laminar
102.65997167873729,0.968993757101311,32,32.25156957156782,Laminar
102.8019138928482,0.9690258712028307,32,32.28500812882874,Laminar
102.94405236253789,0.9690579520428064,32,32.31848135532071,Laminar
103.08638735915777,0.9690899996556879,32,32.351989286988605,Laminar
103.22891915443475,0.9691220140758896,32,32.38553195981516,Laminar
103.37164802047137,0.96915399533779,32,32.41910940981989,Laminar
103.51457422974637,0.9691859434757324,32,32.452721673060154,Laminar
103.65769805511523,0.9692178585240241,32,32.48636878563031,Laminar
103.8010197698107,0.9692497405169371,32,32.52005078366237,Laminar
103.94453964744329,0.969281589488708,32,32.553767703325775,Laminar
104.08825796200186,0.9693134054735375,32,32.587519580827156,Laminar
104.23217498785417,0.9693451885055914,32,32.62130645241116,Laminar
104.37629099974703,0.9693769386189998,32,32.65512835435975,Laminar
104.52060627280743,0.9694086558478575,32,32.68898532299256,Laminar
104.66512108254267,0.969440340226224,32,32.72287739466675,Laminar
104.80983570484098,0.9694719917881238,32,32.75680460577753,Laminar
104.95475041597203,0.9695036105675456,32,32.7907669927574,Laminar
105.09986549258751,0.9695351965984433,32,32.82476459207687,Laminar
105.24518121172156,0.9695667499147356,32,32.85879744024425,Laminar
105.39069785079153,0.969598270550306,32,32.892865573805885,Laminar
105.53641568759798,0.9696297585390028,32,32.926969029345514,Laminar
105.68233500032589,0.9696612139146394,32,32.96110784348528,Laminar
105.82845606754478,0.9696926367109941,32,32.99528205288499,Laminar
105.97477916820932,0.9697240269618105,33,33.029491694242815,Laminar
106.1213045816599,0.9697553847007966,33,33.063736804294486,Laminar
106.26803258762311,0.9697867099616262,33,33.09801741981436,Laminar
106.4149634662123,0.9698180027779376,33,33.13233357761433,Laminar
106.56209749792826,0.969849263183335,33,33.16668531454516,Laminar
106.70943496365925,0.9698804912113869,33,33.20107266749503,Laminar
106.85697614468222,0.9699116868956278,33,33.23549567339112,Laminar
107.00472132266297,0.9699428502695571,33,33.26995436919839,Laminar
107.15267077965672,0.9699739813666394,33,33.30444879192017,Laminar
107.30082479810861,0.970005080220305,33,33.338978978598455,Laminar
107.44918366085439,0.9700361468639493,33,33.37354496631349,Laminar
107.59774765112083,0.9700671813309333,33,33.40814679218378,Laminar
107.7465170525263,0.9700981836545831,33,33.442784493366474,Laminar
107.89549214908143,0.9701291538681908,33,33.47745810705736,Laminar
108.04467322518921,0.9701600920050135,33,33.512167670490605,Laminar
108.19406056564618,0.9701909980982742,33,33.54691322093902,Laminar
108.34365445564254,0.9702218721811614,33,33.58169479571406,Laminar
108.49345518076282,0.9702527142868292,33,33.61651243216604,Laminar
108.64346302698641,0.9702835244483974,33,33.6513661676837,Laminar
108.79367828068808,0.9703143026989515,33,33.686256039694875,Laminar
108.9441012286386,0.9703450490715425,33,33.72118208566583,Laminar
109.09473215800531,0.9703757635991875,33,33.75614434310193,Laminar
109.2455713563523,0.9704064463148694,33,33.791142849547455,Laminar
109.39661911164157,0.9704370972515365,33,33.8261776425853,Laminar
109.54787571223316,0.9704677164421036,33,33.86124875983789,Laminar
109.69934144688584,0.9704983039194509,33,33.896356238966035,Laminar
109.85101660475758,0.9705288597164249,33,33.93150011767006,Laminar
110.00290147540619,0.9705593838658377,33,33.96668043368906,Laminar
110.15499634878982,0.9705898764004678,34,34.00189722480138,Laminar
110.30730151526764,0.9706203373530595,34,34.03715052882466,Laminar
110.45981726559997,0.9706507667563233,34,34.07244038361552,Laminar
110.61254389094945,0.9706811646429359,34,34.10776682707002,Laminar
110.76548168288122,0.9707115310455399,34,34.14312989712346,Laminar
110.91863093336349,0.9707418659967443,34,34.178529631750415,Laminar
111.07199193476823,0.9707721695291242,34,34.21396606896474,Laminar
111.22556497987162,0.970802441675221,34,34.24943924681994,Laminar
111.37935036185465,0.9708326824675426,34,34.28494920340893,Laminar
111.53334837430366,0.9708628919385629,34,34.320495976863874,Laminar
111.68755931121106,0.9708930701207225,34,34.35607960535688,Laminar
111.84198346697538,0.9709232170464279,34,34.39170012709918,Laminar
111.99662113640255,0.9709533327480526,34,34.42735758034192,Laminar
112.15147261470601,0.9709834172579362,34,34.4630520033758,Laminar
112.30653819750734,0.971013470608385,34,34.49878343453129,Laminar
112.4618181808369,0.9710434928316718,34,34.53455191217853,Laminar
112.61731286113432,0.9710734839600359,34,34.57035747472757,Laminar
